week,staff_id,staff_name,role,service,present
1,STF-5ca26577,Allison Hill,doctor,emergency,1
2,STF-5ca26577,Allison Hill,doctor,emergency,1
3,STF-5ca26577,Allison Hill,doctor,emergency,0
4,STF-5ca26577,Allison Hill,doctor,emergency,1
5,STF-5ca26577,Allison Hill,doctor,emergency,1
6,STF-5ca26577,Allison Hill,doctor,emergency,0
7,STF-5ca26577,Allison Hill,doctor,emergency,1
8,STF-5ca26577,Allison Hill,doctor,emergency,1
9,STF-5ca26577,Allison Hill,doctor,emergency,0
10,STF-5ca26577,Allison Hill,doctor,emergency,1
11,STF-5ca26577,Allison Hill,doctor,emergency,1
12,STF-5ca26577,Allison Hill,doctor,emergency,0
13,STF-5ca26577,Allison Hill,doctor,emergency,1
14,STF-5ca26577,Allison Hill,doctor,emergency,1
15,STF-5ca26577,Allison Hill,doctor,emergency,0
16,STF-5ca26577,Allison Hill,doctor,emergency,1
17,STF-5ca26577,Allison Hill,doctor,emergency,1
18,STF-5ca26577,Allison Hill,doctor,emergency,0
19,STF-5ca26577,Allison Hill,doctor,emergency,1
20,STF-5ca26577,Allison Hill,doctor,emergency,1
21,STF-5ca26577,Allison Hill,doctor,emergency,0
22,STF-5ca26577,Allison Hill,doctor,emergency,0
23,STF-5ca26577,Allison Hill,doctor,emergency,1
24,STF-5ca26577,Allison Hill,doctor,emergency,0
25,STF-5ca26577,Allison Hill,doctor,emergency,0
26,STF-5ca26577,Allison Hill,doctor,emergency,1
27,STF-5ca26577,Allison Hill,doctor,emergency,0
28,STF-5ca26577,Allison Hill,doctor,emergency,1
29,STF-5ca26577,Allison Hill,doctor,emergency,1
30,STF-5ca26577,Allison Hill,doctor,emergency,0
31,STF-5ca26577,Allison Hill,doctor,emergency,0
32,STF-5ca26577,Allison Hill,doctor,emergency,1
33,STF-5ca26577,Allison Hill,doctor,emergency,0
34,STF-5ca26577,Allison Hill,doctor,emergency,0
35,STF-5ca26577,Allison Hill,doctor,emergency,1
36,STF-5ca26577,Allison Hill,doctor,emergency,0
37,STF-5ca26577,Allison Hill,doctor,emergency,0
38,STF-5ca26577,Allison Hill,doctor,emergency,1
39,STF-5ca26577,Allison Hill,doctor,emergency,0
40,STF-5ca26577,Allison Hill,doctor,emergency,1
41,STF-5ca26577,Allison Hill,doctor,emergency,1
42,STF-5ca26577,Allison Hill,doctor,emergency,0
43,STF-5ca26577,Allison Hill,doctor,emergency,1
44,STF-5ca26577,Allison Hill,doctor,emergency,1
45,STF-5ca26577,Allison Hill,doctor,emergency,0
46,STF-5ca26577,Allison Hill,doctor,emergency,1
47,STF-5ca26577,Allison Hill,doctor,emergency,1
48,STF-5ca26577,Allison Hill,doctor,emergency,0
49,STF-5ca26577,Allison Hill,doctor,emergency,1
50,STF-5ca26577,Allison Hill,doctor,emergency,1
51,STF-5ca26577,Allison Hill,doctor,emergency,0
52,STF-5ca26577,Allison Hill,doctor,emergency,1
1,STF-02ae59ca,Noah Rhodes,doctor,emergency,1
2,STF-02ae59ca,Noah Rhodes,doctor,emergency,1
3,STF-02ae59ca,Noah Rhodes,doctor,emergency,0
4,STF-02ae59ca,Noah Rhodes,doctor,emergency,1
5,STF-02ae59ca,Noah Rhodes,doctor,emergency,1
6,STF-02ae59ca,Noah Rhodes,doctor,emergency,0
7,STF-02ae59ca,Noah Rhodes,doctor,emergency,1
8,STF-02ae59ca,Noah Rhodes,doctor,emergency,1
9,STF-02ae59ca,Noah Rhodes,doctor,emergency,0
10,STF-02ae59ca,Noah Rhodes,doctor,emergency,1
11,STF-02ae59ca,Noah Rhodes,doctor,emergency,1
12,STF-02ae59ca,Noah Rhodes,doctor,emergency,0
13,STF-02ae59ca,Noah Rhodes,doctor,emergency,0
14,STF-02ae59ca,Noah Rhodes,doctor,emergency,0
15,STF-02ae59ca,Noah Rhodes,doctor,emergency,0
16,STF-02ae59ca,Noah Rhodes,doctor,emergency,0
17,STF-02ae59ca,Noah Rhodes,doctor,emergency,1
18,STF-02ae59ca,Noah Rhodes,doctor,emergency,0
19,STF-02ae59ca,Noah Rhodes,doctor,emergency,1
20,STF-02ae59ca,Noah Rhodes,doctor,emergency,1
21,STF-02ae59ca,Noah Rhodes,doctor,emergency,0
22,STF-02ae59ca,Noah Rhodes,doctor,emergency,1
23,STF-02ae59ca,Noah Rhodes,doctor,emergency,0
24,STF-02ae59ca,Noah Rhodes,doctor,emergency,0
25,STF-02ae59ca,Noah Rhodes,doctor,emergency,1
26,STF-02ae59ca,Noah Rhodes,doctor,emergency,1
27,STF-02ae59ca,Noah Rhodes,doctor,emergency,0
28,STF-02ae59ca,Noah Rhodes,doctor,emergency,1
29,STF-02ae59ca,Noah Rhodes,doctor,emergency,0
30,STF-02ae59ca,Noah Rhodes,doctor,emergency,0
31,STF-02ae59ca,Noah Rhodes,doctor,emergency,1
32,STF-02ae59ca,Noah Rhodes,doctor,emergency,1
33,STF-02ae59ca,Noah Rhodes,doctor,emergency,0
34,STF-02ae59ca,Noah Rhodes,doctor,emergency,0
35,STF-02ae59ca,Noah Rhodes,doctor,emergency,1
36,STF-02ae59ca,Noah Rhodes,doctor,emergency,0
37,STF-02ae59ca,Noah Rhodes,doctor,emergency,1
38,STF-02ae59ca,Noah Rhodes,doctor,emergency,1
39,STF-02ae59ca,Noah Rhodes,doctor,emergency,0
40,STF-02ae59ca,Noah Rhodes,doctor,emergency,1
41,STF-02ae59ca,Noah Rhodes,doctor,emergency,1
42,STF-02ae59ca,Noah Rhodes,doctor,emergency,0
43,STF-02ae59ca,Noah Rhodes,doctor,emergency,1
44,STF-02ae59ca,Noah Rhodes,doctor,emergency,1
45,STF-02ae59ca,Noah Rhodes,doctor,emergency,0
46,STF-02ae59ca,Noah Rhodes,doctor,emergency,1
47,STF-02ae59ca,Noah Rhodes,doctor,emergency,0
48,STF-02ae59ca,Noah Rhodes,doctor,emergency,0
49,STF-02ae59ca,Noah Rhodes,doctor,emergency,1
50,STF-02ae59ca,Noah Rhodes,doctor,emergency,1
51,STF-02ae59ca,Noah Rhodes,doctor,emergency,0
52,STF-02ae59ca,Noah Rhodes,doctor,emergency,1
1,STF-d8006e7c,Angie Henderson,doctor,emergency,1
2,STF-d8006e7c,Angie Henderson,doctor,emergency,1
3,STF-d8006e7c,Angie Henderson,doctor,emergency,0
4,STF-d8006e7c,Angie Henderson,doctor,emergency,0
5,STF-d8006e7c,Angie Henderson,doctor,emergency,1
6,STF-d8006e7c,Angie Henderson,doctor,emergency,0
7,STF-d8006e7c,Angie Henderson,doctor,emergency,0
8,STF-d8006e7c,Angie Henderson,doctor,emergency,1
9,STF-d8006e7c,Angie Henderson,doctor,emergency,0
10,STF-d8006e7c,Angie Henderson,doctor,emergency,0
11,STF-d8006e7c,Angie Henderson,doctor,emergency,1
12,STF-d8006e7c,Angie Henderson,doctor,emergency,0
13,STF-d8006e7c,Angie Henderson,doctor,emergency,1
14,STF-d8006e7c,Angie Henderson,doctor,emergency,1
15,STF-d8006e7c,Angie Henderson,doctor,emergency,0
16,STF-d8006e7c,Angie Henderson,doctor,emergency,1
17,STF-d8006e7c,Angie Henderson,doctor,emergency,1
18,STF-d8006e7c,Angie Henderson,doctor,emergency,0
19,STF-d8006e7c,Angie Henderson,doctor,emergency,0
20,STF-d8006e7c,Angie Henderson,doctor,emergency,1
21,STF-d8006e7c,Angie Henderson,doctor,emergency,0
22,STF-d8006e7c,Angie Henderson,doctor,emergency,1
23,STF-d8006e7c,Angie Henderson,doctor,emergency,1
24,STF-d8006e7c,Angie Henderson,doctor,emergency,0
25,STF-d8006e7c,Angie Henderson,doctor,emergency,1
26,STF-d8006e7c,Angie Henderson,doctor,emergency,1
27,STF-d8006e7c,Angie Henderson,doctor,emergency,0
28,STF-d8006e7c,Angie Henderson,doctor,emergency,1
29,STF-d8006e7c,Angie Henderson,doctor,emergency,1
30,STF-d8006e7c,Angie Henderson,doctor,emergency,0
31,STF-d8006e7c,Angie Henderson,doctor,emergency,0
32,STF-d8006e7c,Angie Henderson,doctor,emergency,1
33,STF-d8006e7c,Angie Henderson,doctor,emergency,0
34,STF-d8006e7c,Angie Henderson,doctor,emergency,1
